event_name,event_type,url,location_name,location_address,location_coord,short_description,session_times,subactivity_times,artist,require_booking,booking_detail
Mark Olive | Chefs on the Harbour,food,https://www.vividsydney.com/event/food/mark-olive-chefs-on-the-harbour,The Jackson,"King Street Wharf 1, Darling Harbour NSW 2000","{""latitude"": ""-33.866037"", ""longitude"": ""151.2007938""}","Take in Vivid Sydney in style on-board Sydney’s newest luxurious superyacht, The Jackson. Savour the finest view of the spectacularly illuminated harbour as TV…","{""2023-06-17"": {""start_time"": ""18:00:00"", ""end_time"": ""21:30:00"", ""duration"": ""210.0""}}",NA,NA,True,*Booking and transaction fees may apply.
Pirra | Vivid LIVE,music,https://www.vividsydney.com/event/music/pirra-vivid-live,Sydney Opera House - The Utzon Room,"Bennelong Point, Sydney NSW 2000","{""latitude"": ""-33.856820018958"", ""longitude"": ""151.21529669825""}","Since getting together in 2015, Wollongong-based collective Pirra have built a following as one of the brightest and most buoyant dance-pop outfits on the…","{""2023-06-01"": {""start_time"": ""19:00:00"", ""end_time"": ""20:00:00"", ""duration"": ""60.0""}}",NA,NA,True,*Booking and transaction fees may apply.
Sonder,light,https://www.vividsydney.com/event/light/sonder,Circular Quay and The Rocks,Eastern Circular Quay,"{""latitude"": ""-33.861453"", ""longitude"": ""151.211636""}","Named after the profound realisation that every stranger you see has a rich, complex inner life, Sonder celebrates the colourful worlds within us all and what…","{""2023-05-26"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-27"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-28"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-29"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-30"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-31"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-01"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-02"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-03"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-04"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-05"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-06"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-07"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-08"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-09"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-10"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-11"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-12"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-13"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-14"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-15"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-16"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-17"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}}",NA,"Michael Pinn, Joseph Emmi and Brandon Pais",False,NA
ECO,light,https://www.vividsydney.com/event/light/eco,The Goods Line and Inner City,Central Station George Street Façade,"{""latitude"": ""-33.882226313877"", ""longitude"": ""151.20608063398""}","Each day, hundreds of thousands of Sydneysiders pass through Central Station, too busy to ponder the stories the building’s surrounds might hold.
Eco tells…","{""2023-05-26"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-27"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-28"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-29"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-30"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-31"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-01"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-02"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-03"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-04"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-05"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-06"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-07"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-08"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-09"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-10"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-11"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-12"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-13"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-14"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-15"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-16"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-17"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}}",NA,The Electric Canvas,False,NA
SPIROGRAPH,light,https://www.vividsydney.com/event/light/spirograph,Walsh Bay,Piers 8/9,"{""latitude"": ""-33.856525"", ""longitude"": ""151.204027""}","Sydney's newest fountain doesn't feature a drop of water – instead, light flows in an impressive illusion. Don't worry about any spray in the wind, either, as…","{""2023-05-26"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-27"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-28"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-29"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-30"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-31"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-01"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-02"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-03"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-04"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-05"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-06"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-07"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-08"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-09"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-10"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-11"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-12"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-13"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-14"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-15"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-16"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-17"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}}",NA,Onga Artful Light Company,False,NA
Nourishing Health,ideas,https://www.vividsydney.com/event/ideas/nourishing-health,Vivid Ideas Exchange - Telstra Customer Insight Centre,"Level 2, 400 George Street, Sydney NSW 2000","{""latitude"": ""-33.8688799"", ""longitude"": ""151.2049436""}","Join Maggie Beer AO in a vital discussion about what a good meal with great company can do. The veteran chef, author, restaurateur and providore is continuing…","{""2023-06-10"": {""start_time"": ""11:00:00"", ""end_time"": ""12:15:00"", ""duration"": ""75.0""}}",NA,NA,True,*Booking and transaction fees may apply.
Fish are jumping,light,https://www.vividsydney.com/event/light/fish-are-jumping,Watermans Cove, Barangaroo NSW 2000,"{""latitude"": ""-33.863272"", ""longitude"": ""151.200866""}","Excited by the Light Walk, a school of fish jump out of the water eager to play. They’re ready to put on a show of their own, leaping out of the water so fast…","{""2023-05-26"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-27"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-28"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-29"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-30"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-31"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-01"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-02"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-03"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-04"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-05"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-06"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-07"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-08"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-09"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-10"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-11"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-12"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-13"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-14"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-15"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-16"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-17"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}}",NA,Studio Toer,False,NA
First Light,light,https://www.vividsydney.com/event/light/first-light-2023,Campbells Cove ,"4 Circular Quay W, The Rocks NSW 2000","{""latitude"": ""-33.856917"", ""longitude"": ""151.210472""}",First Light opens Vivid Sydney by celebrating and honouring the continuous protocol of our nation's First People with a unique Welcome to Country incorporating…,"{""2023-05-26"": {""start_time"": ""17:30:00"", ""end_time"": ""18:00:00"", ""duration"": ""30.0""}}",NA,NA,False,NA
Lightscape,light,https://www.vividsydney.com/event/light/lightscape,Royal Botanic Garden Sydney,"Queen Elizabeth II Gates, Sydney","{""latitude"": ""-33.8585121"", ""longitude"": ""151.2155708""}","After wowing audiences across the US, UK and Melbourne, Lightscape&nbsp;is coming to Sydney for the very first time. Transforming The Royal Botanic Garden…","{""2023-05-26"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-05-27"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-05-28"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-05-29"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-05-30"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-05-31"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-06-01"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-06-02"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-06-03"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-06-04"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-06-05"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-06-06"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-06-07"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-06-08"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-06-09"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-06-10"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-06-11"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-06-12"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-06-13"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-06-14"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-06-15"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-06-16"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-06-17"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-06-18"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-06-21"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-06-22"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-06-23"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-06-24"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-06-25"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-06-28"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-06-29"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-06-30"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-07-01"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-07-02"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-07-05"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-07-06"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-07-07"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-07-08"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-07-09"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-07-12"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-07-13"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-07-14"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-07-15"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}, ""2023-07-16"": {""start_time"": ""17:30:00"", ""end_time"": ""22:00:00"", ""duration"": ""270.0""}}",NA,NA,True,NA
Losting,light,https://www.vividsydney.com/event/light/losting,Circular Quay and The Rocks,"Alfred Street, Sydney NSW 2000","{""latitude"": ""-33.86127"", ""longitude"": ""151.209162""}","'Losting' is an invented word, describing that deliberate act of losing yourself in nature without any bearings or ties to our tech, in order to feel yourself…","{""2023-05-26"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-27"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-28"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-29"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-30"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-31"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-01"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-02"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-03"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-04"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-05"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-06"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-07"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-08"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-09"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-10"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-11"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-12"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-13"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-14"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-15"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-16"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-17"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}}",NA,James Dive,False,NA
River Mouth,light,https://www.vividsydney.com/event/light/river-mouth,Darling Harbour,Chinese Garden of Friendship Forecourt,"{""latitude"": ""-33.876564"", ""longitude"": ""151.201645""}","In an age of lockdowns, climate change and global upheaval, it’s easy to feel increasingly ungrounded or disconnected. River Mouth plays with our innate need…","{""2023-05-26"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-27"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-28"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-29"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-30"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-31"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-01"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-02"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-03"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-04"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-05"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-06"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-07"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-08"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-09"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-10"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-11"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-12"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-13"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-14"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-15"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-16"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-17"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}}",NA,Emma-Kate Hart,False,NA
KOBIE DEE // JK-47,kobie-dee,https://www.vividsydney.com/event/music/kobie-dee/jk-47,Carriageworks,"245 Wilson Street, Eveleigh NSW 2015","{""latitude"": ""-33.893341"", ""longitude"": ""151.191954""}",Gomeroi rapper and master storyteller Kobie Dee and break-out hip-hop star JK-47 will raise the roof with hard hitting lyricism. Representing Boorloo special…,"{""2023-06-09"": {""start_time"": ""18:30:00"", ""end_time"": ""23:00:00"", ""duration"": ""270.0""}}",NA,NA,True,*Booking and transaction fees may apply.
Light Up Your Senses at the Pylon,food,https://www.vividsydney.com/event/food/light-up-your-senses-at-the-pylon,BridgeClimb Pylon Lookout & Museum,"Sydney Harbour Bridge, South-East Pylon, 3 Cumberland Street, The Rocks NSW 2000","{""latitude"": ""-33.857439"", ""longitude"": ""151.2077747""}",Take in the majestic view of Vivid Sydney from the Sydney Harbour Bridge’s South-East Pylon in style. Enjoy a red wine paired with a cheese box from renowned…,"{""2023-05-26"": {""start_time"": ""17:45:00"", ""end_time"": ""21:45:00"", ""duration"": ""4560.0""}, ""2023-06-01"": {""start_time"": ""17:45:00"", ""end_time"": ""21:45:00"", ""duration"": ""4560.0""}, ""2023-06-08"": {""start_time"": ""17:45:00"", ""end_time"": ""21:45:00"", ""duration"": ""4560.0""}, ""2023-06-15"": {""start_time"": ""17:45:00"", ""end_time"": ""21:45:00"", ""duration"": ""3120.0""}}",NA,Luke Mangan AOM,True,*Booking and transaction fees may apply.
Kutcha Edwards + Julian Belbachir | Tumbalong Nights,music,https://www.vividsydney.com/event/music/kutcha-edwards-julian-belbachir-tumbalong-nights,Tumbalong Park,"11 Harbour St, Sydney NSW 2000","{""latitude"": ""-33.875367706309"", ""longitude"": ""151.20140473306""}","Be swept away by two true experts of the craft, veteran Mutti Mutti songwriter-activist Kutcha Edwards and multi-instrumentalist and African fusion artist…","{""2023-06-08"": {""start_time"": ""18:00:00"", ""end_time"": ""22:00:00"", ""duration"": ""240.0""}}","[{""name"": ""DJ - Juzzlikethat"", ""start_time"": ""18:00:00"", ""end_time"": ""19:30:00"", ""duration"": 90.0}, {""name"": ""Julian Belbachir"", ""start_time"": ""19:30:00"", ""end_time"": ""20:30:00"", ""duration"": 60.0}, {""name"": ""DJ - Juzzlikedat"", ""start_time"": ""20:30:00"", ""end_time"": ""21:00:00"", ""duration"": 30.0}, {""name"": ""Kutcha Edwards"", ""start_time"": ""21:00:00"", ""end_time"": ""22:00:00"", ""duration"": 60.0}]",NA,False,NA
